Time(us),Amplitude(MHz),Phase(rad)
0.0,0.0,0.0
0.020338983050847456,0.0024757747855580353,-1.6022266802950436
0.04067796610169491,0.004938673032678476,-2.435543428292646
0.06101694915254237,0.007696059859922747,-2.6308326357371614
0.08135593220338982,0.018921433806649915,-2.318976694372947
0.10169491525423728,0.0514480071670403,-1.630857995944357
0.12203389830508474,0.11952749392963707,-0.697358932195742
0.14237288135593218,0.23567408517391325,0.35063810512853644
0.16271186440677965,0.4077091007653054,1.3822507242841255
0.18305084745762712,0.6361142806537319,2.266596533526671
0.20338983050847456,0.9117913162617111,2.8727931411118166
0.223728813559322,1.2143984179028988,3.0710069115986736
0.24406779661016947,1.5209186381307052,2.8337938990254434
0.26440677966101694,1.821451374657034,2.3205829935774935
0.28474576271186436,2.1121701057053888,1.7106906123799754
0.30508474576271183,2.3949159900216723,1.1834331725580494
0.3254237288135593,2.6778168988368893,0.9181270912368692
0.34576271186440677,2.971378459106852,1.0508189872632396
0.36610169491525424,3.267468817001649,1.489913070741531
0.38644067796610165,3.547363393372779,2.0692164195442313
0.4067796610169491,3.788136290120325,2.6224928417455526
0.4271186440677966,3.9633569389415,2.9835061454197067
0.447457627118644,4.045463647169262,2.9950804045514348
0.4677966101694915,4.034203507925189,2.6698777332724966
0.48813559322033895,3.9596218191658443,2.1713968948548477
0.5084745762711864,3.859584081901761,1.6683798620094117
0.5288135593220339,3.777089586525579,1.3295686074471076
0.5491525423728814,3.7579914554977125,1.3233154310854691
0.5694915254237287,3.8150439899992254,1.712517433130539
0.5898305084745762,3.878773577104117,2.3124346535882645
0.6101694915254237,3.8651597406384846,2.902818199166819
0.6305084745762711,3.6913707247920517,3.141592653589793
0.6508474576271186,3.280461454903154,3.141592653589793
0.6711864406779661,2.5844958125494975,2.460396345691334
0.6915254237288135,1.6952289593332952,1.2701391877813049
0.711864406779661,0.7578223369390065,-0.11232203248187991
0.7322033898305085,0.0,-1.4020204649482435
0.7525423728813558,0.0,-2.3139892594677707
0.7728813559322033,0.0,-2.5717914851652273
0.7932203389830508,0.0,-2.144378928861187
0.8135593220338982,0.0,-1.2770045225237476
0.8338983050847457,0.0,-0.22966089862774677
0.8542372881355932,0.0,0.7376593103519552
0.8745762711864407,0.0,1.365015872841596
0.894915254237288,0.0,1.482807710721875
0.9152542372881355,0.0,1.1971148864326533
0.935593220338983,0.0,0.6664183634894711
0.9559322033898304,0.0,0.04919910540787776
0.9762711864406779,0.0,-0.4960619242965909
0.9966101694915254,0.0,-0.8244643880963707
1.0169491525423728,0.0,-0.9187180883627373
1.0372881355932202,0.0,-0.8314518315769824
1.0576271186440678,0.0,-0.6160105900439858
1.0779661016949151,0.0,-0.3257393360686232
1.0983050847457627,0.0,-0.013983041955776744
1.11864406779661,0.0027790983128272227,0.26591331998967704
1.1389830508474574,0.01022937316036398,0.46060477746286127
1.159322033898305,0.008898073443144784,0.5167463581588949
1.1796610169491524,0.0034253191900158464,0.38099308977289975
1.2,2.4995996377697627e-32,-3.487868498008632e-16
