Time(us),Amplitude(MHz),Phase(rad)
0.0,0.0,0.0
0.020338983050847456,0.003452677031881235,-0.07433593255672542
0.04067796610169491,0.00916215275250731,-0.1619730709428918
0.06101694915254237,0.01120005579412453,-0.25126035938514096
0.08135593220338982,0.005096028372124764,-0.33054674211011464
0.10169491525423728,0.0,-0.3881811633444546
0.12203389830508474,0.0,-0.412512567314803
0.14237288135593218,0.0,-0.3918898982478013
0.16271186440677965,0.0,-0.31466210037009135
0.18305084745762712,0.0,-0.16917811790831502
0.20338983050847456,0.0,0.056213104910885665
0.223728813559322,0.0,0.3730358542087819
0.24406779661016947,0.0,0.7804379419250508
0.26440677966101694,0.0,1.2549787060662716
0.28474576271186436,0.0,1.77081355642166
0.30508474576271183,0.0,2.3020979027804294
0.3254237288135593,0.3011786688020827,2.8229871549317944
0.34576271186440677,0.9676451444619223,3.141592653589793
0.36610169491525424,1.8260051268425785,3.141592653589793
0.38644067796610165,2.737155036492841,3.141592653589793
0.4067796610169491,3.5183431076707645,3.141592653589793
0.4271186440677966,3.9490062114576925,3.141592653589793
0.447457627118644,3.7910249289296214,2.515768839622207
0.4677966101694915,3.0277844895801165,1.3394571525044763
0.48813559322033895,1.8902158820747499,0.012795997075951087
0.5084745762711864,0.6696349056883805,-1.2677587279522327
0.5288135593220339,0.0,-2.305751123868952
0.5491525423728814,0.0,-2.9051123375285606
0.5694915254237287,0.0,-2.9745177219461736
0.5898305084745762,0.7754968689261009,-2.668610087005863
0.6101694915254237,2.1212724489725594,-2.177301769746987
0.6305084745762711,3.493464361721261,-1.6905051072088981
0.6508474576271186,4.600138027919991,-1.398132436430957
0.6711864406779661,5.0,-1.4586060392286644
0.6915254237288135,5.0,-1.8107385393131854
0.711864406779661,5.0,-2.2998227118913697
0.7322033898305085,4.710712984330281,-2.7708057622910776
0.7525423728813558,4.23828365854803,-3.0686348958401597
0.7728813559322033,3.8130093957147593,-3.043164596665144
0.7932203389830508,3.4789342618051555,-2.6854219453727253
0.8135593220338982,3.2159357317584982,-2.1453905974161644
0.8338983050847457,3.0019008778778598,-1.581533986012813
0.8542372881355932,2.816892269811901,-1.1523155443800361
0.8745762711864407,2.643889733162416,-1.0161574715199606
0.894915254237288,2.465766993109903,-1.2603941793844835
0.9152542372881355,2.2609166802003235,-1.755426873619634
0.935593220338983,2.0160606176546123,-2.3304225446450917
0.9559322033898304,1.7283517750103483,-2.814548182880525
0.9762711864406779,1.4043730186019305,-3.0369707787456153
0.9966101694915254,1.0606394362439382,-2.845756087485072
1.0169491525423728,0.7340208781590525,-2.2665518127289017
1.0372881355932202,0.4578950769644475,-1.4223047676360152
1.0576271186440678,0.2491104493289897,-0.43695837991666236
1.0779661016949151,0.11027578581620975,0.5655439227189308
1.0983050847457627,0.032904324987706304,1.4612587125605125
1.11864406779661,0.0011625272321086255,2.1262425618978518
1.1389830508474574,0.0,2.436552043020711
1.159322033898305,9.284718551930676e-05,2.268243728218847
1.1796610169491524,0.0016720178344657721,1.4973741897820196
1.2,2.4995996377697616e-32,0.0
